,,,,
Date,Shop Name,Amount,Bought By,Item
30/6,fruit shop,1.8,Shar,big orange
30/6,ang mo,2,Shar,small orange
4/7,thenga shop,1.6,Shar,coconut
2/7,flower shop,5,Shar,little india flower shop
4/7,flower shop vadabathra,3.8,Shar,"rose packet,jaggery"
5/7,thenga shop,5,R,"atta,amul taaza"
11/7,thenga shop,2.8,R,"coconut,alvas"
17/7,cycle shop,5,Shar,cycle repair
18/7,thenga shop,5.8,Shar,"flowers,coconut"
12/7,prime,1.4,Shar,extra cash for butter
25/7,thenga shop,1.6,shar,coconut
28/7,flower shop -vadabathra,3.5,Shar,bangle for god
28/7,vadabathra kali,3,Shar,"milk,archanai"
28/7,prime-2 meiji,13.4,Shar,milk
26/7,ss-sugar,3.35,R,sugar
31/7,fruit shop,4.5,Shar,fruits
10/8,thenga shop,1.6,R,coconut
10/8,"ss-orange,yogurt,ginger",4.45,R,"orange,yogurt,ginger"
20/8,"ss -milk,sugar",9.22,R,"milk,sugar"
26/8,ponni- lile india,5.7,Shar,"ladies finger,banana"
27/8,thenga shop,3,Shar,pillayar kodai
26/8,thenga shop,1.3,Shar,coconut
27/8,siva durga v chathurthi archanai,1.4,Shar,archanai
25/8,10 paal kudam for pillayar chathurthi,10,Shar,siva durga
30/8,archanai saturday siva durga,4.1,Shar,archanai saturday siva durga
29/8,vadabathra kali,2,Shar,in plate
29/8,VADAbathra kali - milk,3,Shar,"milk,archanai"
29/8,vadabathra kali shop for R,4.4,Shar,coffee powder
2/9,thenga shop,9.5,Shar,"idly rice,salt"
2/9,ang mo,2.5,R,vegs
2/9,fp,5.3,R,"beans,carrot"
6/9,fruit shop,2.5,Shar,watermelon
6/9,flea market,9,Shar,flear market pp
8/9,rajathi,11,Shar,R personal expenses
15/9,flower shop -little india,1,Shar,
11/9,ss,7.2,R,"carrot,ladies finger,beans"
11/9,thenga shop,2.8,R,"curd,coconut"
17/9,thenga shop,3,Shar,satsung flowers
21/9,thenga shop,1.6,R,coconut
21/9,thenga shop,2.1,R,amul taaza
20/9,little india shop,2.9,Shar,vazhakai
7/9,thenga shop,1.6,R,coconut
29/9,thenga shop,8.9,R,flowers
29/9,SS,7.7,R,"carrot,capsicum,spring onion,yogurt,bean"
26/9,abc,2.1,R,plates disposable
26/9,ss,32.77,R,"carrot,yogurt,vessel liquid,sugar,potato,basmati rice,cabbage,capsicum"
30/9,thenga shop,7,R,"mix flowers,malli"
5/10,aadhvik hair cut,10,Shar,ame shop
7/10,thenga shop,23.5,Shar,"idly rice,puzhangal rice,soap,coconut"
11/10,thenga shop,1.6,Shar,coconut
5/10,ss,1.55,R,tomato
10/10,ss,13.06,R,"tomato,milk,yogurt,potato,onion"
17/20,ss -westgold unsalted butter,6.1,Shar,
19/10,tamil story book -indian heritage,9,Shar,
19/10,earring -indian heritage,20,Shar,
19/10,mixture -indian heritage,9,Shar,
18/10,flowers -little india,7,Shar,
19/10,thenga shop -flowers,6,R,
17/10,saree in siva durga,10,Shar,
2/11,thenga shop,1.6,R,coconut
7/11,thenga shop,1,Shar,thambolam bag for amma
7/11,thenga shop,4.8,Shar,"poo,sweet in thamboolam bag"
7/11,thenga shop,9.7,Shar,"flowers for friday,atta,thengai"
14/11,thenga shop,3.4,R,"amul milk,yogurt"
24/12,THENGA SHOP,13.6,R,"coconut,idly rice"
18/12,ang mo,10.35,R,"ginger,onion,tomato,chilly"
18/12,prime,9.1,,"milk,curry,coriander"
20/12,prime-milk,6.7,Shar,milk
28/12,elaneer,5,Shar,"deepika,shar"
21/12,archanai ,2.1,Shar,siva durga
,cycle shop,12,Shar,tyre repair
7/1,THENGA SHOP,1.6,Shar,coconut
8/1,R toiletries,10,Shar,
12/1,"thenga shop - parachute oil,cocnut,amul taaza,onion",8,Shar,
14/1/26,flower shop-pongal,16,Shar,
21/1/26,abc-plaster,1,R,
21/1/26,"thenga shop-coconut,black chana",3.8,R,
